Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
trafficFinesMerged_256_85.xes,256.0,85.0,0.9250595356643527,0.8554787124538435,0.9958964870415812,0.9958964870415812
trafficFinesMerged_256_90.xes,256.0,90.0,0.9251065465204226,0.8594053685044022,0.9959900484050535,0.9959900484050535
trafficFinesMerged_2_10.xes,2.0,10.0,0.928655743402772,0.8664092138865109,0.8990171595231604,0.8989941259202447
trafficFinesMerged_2_15.xes,2.0,15.0,0.9287117002361931,0.866208622330238,0.9082611665823224,0.9082034591882124
trafficFinesMerged_2_20.xes,2.0,20.0,0.9287081000239926,0.8592368934226513,0.9082268148131831,0.9082397405568052
trafficFinesMerged_2_25.xes,2.0,25.0,0.8359105289917557,0.8664088064654486,0.9086203277353826,0.9085606823959127
trafficFinesMerged_2_30.xes,2.0,30.0,0.9287269564247888,0.8634591086198549,0.9102520099751674,0.9101921546918694
trafficFinesMerged_2_35.xes,2.0,35.0,0.9288152777731001,0.8654323407313835,0.8979800498113233,0.8979007268995188
trafficFinesMerged_2_40.xes,2.0,40.0,0.9287186972956312,0.8662473976732791,0.9270909032550048,0.9270627641136961
trafficFinesMerged_2_45.xes,2.0,45.0,0.8359135489624938,0.8627119648879154,0.9270696417856756,0.9269722908820176
trafficFinesMerged_2_50.xes,2.0,50.0,0.9285348496890873,0.872830981179421,0.898482970672052,0.898487069503575
trafficFinesMerged_2_55.xes,2.0,55.0,0.9288033072853784,0.8662895808415068,0.8990245969006793,0.8989382004600047
trafficFinesMerged_2_60.xes,2.0,60.0,0.9285879750510169,0.8621496251494909,0.898535216588608,0.8985188331579191
trafficFinesMerged_2_65.xes,2.0,65.0,0.8359301509528555,0.8628939761538899,0.9178997333737187,0.917875715918583
trafficFinesMerged_2_70.xes,2.0,70.0,0.9286339313551363,0.8664257852250348,0.9085916723372917,0.9084953221945826
trafficFinesMerged_2_75.xes,2.0,75.0,0.928781353021731,0.8619377150640138,0.9071675465942037,0.9071422545322096
trafficFinesMerged_2_80.xes,2.0,80.0,0.9287180087843858,0.8653995447457546,0.9178671415499663,0.917872836169661
trafficFinesMerged_2_85.xes,2.0,85.0,0.9287712900909364,0.8662441463983808,0.9082532974416353,0.908157029492122
trafficFinesMerged_2_90.xes,2.0,90.0,0.8358863517487098,0.8662455898478345,0.9082359462806041,0.9081473155000783
trafficFinesMerged_32_10.xes,32.0,10.0,0.9291453579522365,0.8683920957679764,0.995558032744124,0.9955581974157173
trafficFinesMerged_32_15.xes,32.0,15.0,0.929161766050995,0.8590051590636951,0.9959795811699831,0.9959795811699831
trafficFinesMerged_32_20.xes,32.0,20.0,0.9291605380342517,0.8492408428582143,0.9959802462403256,0.9959802462403256
trafficFinesMerged_32_25.xes,32.0,25.0,0.8361765623861628,0.8531831103392771,0.9959809777768669,0.9959809777768669
trafficFinesMerged_32_30.xes,32.0,30.0,0.7432803919012296,0.8506813224993728,0.9959804762141802,0.9959804762141802
trafficFinesMerged_32_35.xes,32.0,35.0,0.9291062415296294,0.8462411696883031,0.9959801709344289,0.9959801709344289
trafficFinesMerged_32_40.xes,32.0,40.0,0.8362037252894137,0.8536028695541731,0.9959800686715035,0.9959800686715035
trafficFinesMerged_32_45.xes,32.0,45.0,0.9292109661043815,0.8442460292228301,0.9959799710468793,0.9959799710468793
trafficFinesMerged_32_50.xes,32.0,50.0,0.743330396613257,0.8658772612017633,0.9959806270470029,0.9959806270470029
trafficFinesMerged_32_55.xes,32.0,55.0,0.8362040541735659,0.847674954797446,0.995979496713875,0.995979496713875
trafficFinesMerged_32_60.xes,32.0,60.0,0.9291108585330786,0.8575450372379215,0.9959099019463535,0.9959099019463535
