Log,P,N,fitness_token_based,fitness_alignment_based,precision_token_based,precision_alignments
help_desk_16_55.xes,16.0,55.0,0.8555083368802954,0.9001379482803127,0.8521017802389101,0.8671103373892668
help_desk_16_60.xes,16.0,60.0,0.8552956773660603,0.8996515504157598,0.8513975876624681,0.866266462045961
help_desk_16_65.xes,16.0,65.0,0.8554944053453941,0.9001231032169261,0.8521017802389101,0.8671103373892668
help_desk_16_70.xes,16.0,70.0,0.8553304355554973,0.9011637651160941,0.8515218134127357,0.866348107102187
help_desk_16_75.xes,16.0,75.0,0.855449652118075,0.9015885184349713,0.8523502317394455,0.8672736275017187
help_desk_16_80.xes,16.0,80.0,0.8552764711455737,0.8994422809548464,0.8505640534958413,0.8655273672813267
help_desk_16_85.xes,16.0,85.0,0.8554367463012611,0.8995108441839104,0.8507970398737118,0.8656812342618565
help_desk_16_90.xes,16.0,90.0,0.8553499124078071,0.9009340411313698,0.8509289981853119,0.8657675908840435
help_desk_256_10.xes,256.0,10.0,0.9354014296969518,0.9152746391189069,0.9948590923961304,1.0
help_desk_256_15.xes,256.0,15.0,0.9357157922425359,0.9153011736702483,0.9948590923961304,1.0
help_desk_256_20.xes,256.0,20.0,0.9353694508625352,0.9152358569053382,0.9948590923961304,1.0
help_desk_256_25.xes,256.0,25.0,0.9350833675984264,0.9137246610990818,0.9948590923961304,1.0
help_desk_256_30.xes,256.0,30.0,0.9353327684825137,0.9186757689703449,0.9948590923961304,1.0
help_desk_256_35.xes,256.0,35.0,0.9359958044774392,0.9058734005315475,0.9948590923961304,1.0
help_desk_256_40.xes,256.0,40.0,0.9363101707813171,0.9100464054899051,0.9948590923961304,1.0
help_desk_256_45.xes,256.0,45.0,0.9363243019663617,0.9187578436315912,0.9948590923961304,1.0
help_desk_256_50.xes,256.0,50.0,0.9363243019663617,0.9157315280216366,0.9948590923961304,1.0
help_desk_256_55.xes,256.0,55.0,0.9360271192735171,0.9183526996946038,0.9948590923961304,1.0
help_desk_256_60.xes,256.0,60.0,0.9357268921845547,0.9145842285408146,0.9948590923961304,1.0
help_desk_256_65.xes,256.0,65.0,0.9359705607105668,0.9182957065944795,0.9948590923961304,1.0
help_desk_256_70.xes,256.0,70.0,0.9363384463044981,0.9127182818970111,0.9948590923961304,1.0
help_desk_256_75.xes,256.0,75.0,0.9357305919941246,0.9187281268166906,0.9948590923961304,1.0
help_desk_256_80.xes,256.0,80.0,0.9357053479706238,0.9088976463242011,0.9948590923961304,1.0
help_desk_256_85.xes,256.0,85.0,0.9357161249033158,0.9074063011226172,0.9948590923961304,1.0
help_desk_256_90.xes,256.0,90.0,0.9354088300860294,0.9141544053180513,0.9948590923961304,1.0
help_desk_2_10.xes,2.0,10.0,0.8759511516096449,0.7271866703764672,0.8644845747556259,0.8261134973260447
help_desk_2_15.xes,2.0,15.0,0.8443006238558087,0.7419687433134498,0.8594579612211707,0.8562333774459219
help_desk_2_20.xes,2.0,20.0,0.8403490445939183,0.7260726569469338,0.8600243273703916,0.8641466282784009
help_desk_2_25.xes,2.0,25.0,0.8608461178455038,0.7431739144050604,0.8793000625684044,0.8616313764119848
help_desk_2_30.xes,2.0,30.0,0.8316093870004329,0.7259610023104348,0.8439319224214202,0.8603093953311566
help_desk_2_35.xes,2.0,35.0,0.8591665412726999,0.7435462619190394,0.8754216619299318,0.8574789761186686
help_desk_2_40.xes,2.0,40.0,0.8585338728174985,0.7274794036682766,0.8856634867986459,0.8685146400505946
help_desk_2_45.xes,2.0,45.0,0.8665099703176103,0.7256603889971236,0.8900977518465105,0.8566333971385898
help_desk_2_50.xes,2.0,50.0,0.8692764219702666,0.743118973856969,0.8918631122022231,0.8610786359051481
help_desk_2_55.xes,2.0,55.0,0.8782509326645037,0.7408901018629115,0.9063434379742734,0.8672880566122905
help_desk_2_60.xes,2.0,60.0,0.8577329905750204,0.7247585021526479,0.8669969027224169,0.8506975798173126
help_desk_2_65.xes,2.0,65.0,0.8415870246586616,0.7245573218055237,0.8450861417895178,0.8397523041538626
help_desk_2_70.xes,2.0,70.0,0.8572098362160695,0.725418207610376,0.8635225824947457,0.8464583706415055
help_desk_2_75.xes,2.0,75.0,0.8506489509341156,0.7421898658818213,0.8597337881325997,0.8492764547455899
help_desk_2_80.xes,2.0,80.0,0.8527580199016367,0.7606165773674822,0.8706285723090819,0.8572205613534438
help_desk_2_85.xes,2.0,85.0,0.8398539363588584,0.7254218070538475,0.8593040211572187,0.854551611881243
help_desk_2_90.xes,2.0,90.0,0.8515775087930463,0.7265615001725603,0.8744965069745559,0.8608774912902868
help_desk_32_10.xes,32.0,10.0,0.8505128387737457,0.8632583527407671,0.8423105195151719,0.8653460432993526
help_desk_32_15.xes,32.0,15.0,0.8509433690613843,0.861718239206664,0.843330783858393,0.8658215550769638
help_desk_32_20.xes,32.0,20.0,0.8509491368548104,0.8596404634651323,0.8445819553517108,0.8664702281742084
help_desk_32_25.xes,32.0,25.0,0.8504369387148735,0.8595832287736778,0.8423105195151719,0.8653460432993526
help_desk_32_30.xes,32.0,30.0,0.850758867253737,0.8596025948260682,0.8459665779953489,0.8672054819312697
help_desk_32_35.xes,32.0,35.0,0.850865512181932,0.8617257740818498,0.8447154065020314,0.8665568088340251
help_desk_32_40.xes,32.0,40.0,0.8509446864234604,0.8596097285317086,0.8423465146657166,0.8653460432993526
help_desk_32_45.xes,32.0,45.0,0.8505117666769657,0.8617218381564593,0.8423105195151719,0.8653460432993526
help_desk_32_50.xes,32.0,50.0,0.8512802405798426,0.8657676000961934,0.8433043330421434,0.8655818055373128
help_desk_32_55.xes,32.0,55.0,0.8508309601518939,0.8595946459641551,0.8434642350087136,0.8659081357367805
help_desk_32_60.xes,32.0,60.0,0.8509491808646661,0.8638558020682663,0.8447154065020314,0.8665568088340251
help_desk_32_65.xes,32.0,65.0,0.8509470485854159,0.8617334346412037,0.8435976861590342,0.8659947163965972
help_desk_32_70.xes,32.0,70.0,0.8509465876637246,0.8617105822334784,0.8422130635153959,0.8652594626395359
help_desk_32_75.xes,32.0,75.0,0.8504800564167116,0.8595759269160022,0.8421770683648513,0.8652594626395359
help_desk_32_80.xes,32.0,80.0,0.8508706922850398,0.8617321513599686,0.844848857652352,0.8666433894938418
help_desk_32_85.xes,32.0,85.0,0.8509096346043699,0.8596099587343902,0.8435976861590342,0.8659947163965972
help_desk_32_90.xes,32.0,90.0,0.8497761598475343,0.8632018805040769,0.8458862667105584,0.8672054819312697
help_desk_4_10.xes,4.0,10.0,0.8694735569850996,0.8642478897075137,0.8656785157712165,0.8594645469369532
help_desk_4_15.xes,4.0,15.0,0.8514766057866587,0.8809662835361746,0.8429320989443732,0.8604383292971001
help_desk_4_20.xes,4.0,20.0,0.8942917585540936,0.8998592830660087,0.8926928349035975,0.8589197428900478
help_desk_4_25.xes,4.0,25.0,0.880295193459068,0.881451992286739,0.8800021935200236,0.8604962237066743
help_desk_4_30.xes,4.0,30.0,0.8655018853088421,0.8463049141738127,0.8670963647117421,0.860591177388893
help_desk_4_35.xes,4.0,35.0,0.8698696606248071,0.8809825470528733,0.8671560533018751,0.8598936540057915
help_desk_4_40.xes,4.0,40.0,0.8571293886676672,0.8472982736586973,0.8575891274289896,0.862874491622352
help_desk_4_45.xes,4.0,45.0,0.879579920029455,0.8652237703306553,0.8841665280326534,0.8629845972942999
